ID,Form,Gloss_es,POS,Gloss,Translation,Paradigm,Gramm,Comment,PERT,NPERT,2_Prefix
wasayi-wasai,wasayi; wasai,Palma cucurito,n,attalea maripa,attalea maripa,,,,,,
wawe,wawë,dentro de con palabras referentes al agua,postp,LOC.AQ,LOC.AQ,,,,,,
wena,wena,Vomito,n,vomit,vomit,,,,,,
wepi-wej,wepï; wej,Venir,vi,come,come,,,,,,
wereyi-werey,wereyi; werey,Niebla; Neblina; Nube,n,cloud,cloud,,,,,,
weroro,weroro,Perro (término genérico),n,dog,dog,,,,,,
wiriyamo-wurijyam-wurijyamo-wurijyan,wiriyamo; wurijyam; wurijyamo; wurijyan,mujer,n,woman,woman,,,,,,
wejka,wëjka,Caerse; desembocar,vi,fall,fall,,,,,,
wire,wïrë,"primera pers. singular yo; me; mi, mio",pn,1PRO,1PRO,,,,,,
yajno,yajno,"Cuñado de un hombre, marido de la hermana de un hombre",n,brother in law (man),brother in law (man),,,,,,
yaka,yaka,"Hacia, hasta, en, adentro (con movimiento)",postp,ALL,ALL,,,,,,
yakarama,yakarama,"Contar, mostrar, indicar, informar, avisar",vt,tell,tell,,,,,,
yakono,yakono,Hermana menor o prima paralela de una mujer,n,younger sister of woman,younger sister of woman,,,,,,
yaku,yaku,picure,n,agouti,agouti,,,,,,
yakere,yakërë,Con (comitativo),postp,COM,COM,,,,,,
yamane-yaman,yamanë; yaman,"Hacer, construir , fabricar, arreglar, acomodar",vt,make,make,,,,,,
yami,yamï,"recoger, agarrar, cosechar",vt,pick up,pick up,,,,,,
yane,yanë,Madre,n,mother,mother,,,,,,
yapechi,yapëchi,"Agarrar, asir",vt,grab,grab,,,,,,
yarika,yarika,reirse de alguien; burlarse,vi,laugh,laugh,,,,,,
yaruwa,yaruwa,reir(se),vi,laugh,laugh,,,,,,
yare,yarë,"cargar , llevar",vt,bring,bring,,,,,,
yatane-yatam-yatan,yatanë; yatam; yatan,"Joven (hombre o mujer, muchacha que tuve su primera menstruacion",n,adolescent,adolescent,,,,,,
yate,yatë,en,postp,LOC,LOC,,,,,,
yawanka,yawanka,matar,vt,kill,kill,,,,,,
yaye,yaye,"en (temporal, espacial , modal)",postp,LOC,LOC,,,,,,
yeme,yeme,"Comer (frutas, huevos, sopa)",vt,"eat (fruits, eggs, soup)","eat (fruits, eggs, soup)",,,,,,
yerepunu-yerepun,yerepunu; yerepun,estar enfermo,n,sick,sick,,,,,,
yojte,yojtë,"Pescar con anzuelo , buscar comida de carne",vt,fish with hook,fish with hook,,,,,,
yoko,yoko,Espinilla,n,pimple,pimple,,,,,,
yoki,yokï,"Comer (alimentos blandos, casabe, fécula, tubérculos) , beber??; copular, tener relación sexual (hombre)",vt,eat (starch),eat (starch),,,,,,
yumpe,yumpe,"Bastante, mucho",adv,fairly,fairly; much,,,,,,
yutu,yutu,Selva ; bosque ; conjunto de plantas de la misma especie,n,forest,forest,,,,,,
ye-ye,yë; ye,diente,n,tooth,tooth,,,,,,
yeni-yeni,yëni; yeni,Beber; tomar,vt,drink,drink,,,,,,
yene,yënë,"Comer (carne, pescado)",vt,eat (meat),eat (meat),,,,,,
yeye,yëye,"Árbol, palo",n,tree,tree,,,,,,
yipi,yïpï,"Cerro, montaña",n,mountain,mountain,,,,,,
ejpina,ëjpïna,"Mucho, bastante",adv,often,often,,,,,,
ejte,ëjtë,"Casa, Churuata",n,house,house,,,,,,
ejwate,ëjwatë,Chinchorro,n,hammock,hammock,,,,,,
eke,ëkë,"Cuál, qué",intj,which,which,,,,,,
ekere,ëkërë,"Jaguar, tigre americano.",n,jaguar,jaguar,,,,,,
empare,ëmpare,"ya, está bien, está lisro",adv,already,already,,,,,,
erine,ërinë,Olla,n,cooking pot,cooking pot,,,,,,
etipa-tipari,ëtïpa; tipari,irse en grupo,vi,go in group,go in group,,,,,,
